IndF,year,age,ImmiOrNatal,sex,Mean.GenR.Adult,Mean.PedR.Adult,N.Adult
Ingrid,2015,24.59,Immigrant,M,0.0135880869565217,0,23
Ingrid,2015,24.59,Immigrant,F,0.00788461111111111,0,18
Jolie,2015,31.01,Natal,M,0.0110054782608696,0,23
Jolie,2015,31.01,Natal,F,0.0110411666666667,0,18
Julianne,2015,38.01,Unknown,M,0.0320611739130435,0.0217391304347826,23
Julianne,2015,38.01,Unknown,F,0.0108288888888889,0,18
Kidman,2015,39.01,Unknown,F,0.0407286666666667,0,6
Kidman,2015,39.01,Unknown,M,0.1344785,0.125,4
Kundry,2015,44.01,Unknown,F,0.0107678181818182,0,22
Kundry,2015,44.01,Unknown,M,0.0930259090909091,0.0909090909090909,11
Leigh,2015,15.01,Natal,F,0.0284514090909091,0.0113636363636364,22
Leigh,2015,15.01,Natal,M,0.0218734545454545,0,11
Leonora,2015,39.01,Unknown,M,0.0156718260869565,0,23
Leonora,2015,39.01,Unknown,F,0.025732,0,18
Marlene,2015,66.01,Unknown,M,0.0029394347826087,0,23
Marlene,2015,66.01,Unknown,F,0.00911105555555555,0,18
Maya,2015,20.01,Natal,F,0.0167508636363636,0,22
Maya,2015,20.01,Natal,M,0.0157267272727273,0,11
Merril,2015,49.01,Unknown,M,0.00176926086956522,0,23
Merril,2015,49.01,Unknown,F,0.0302547777777778,0.0277777777777778,18
Natalie,2015,18.01,Natal,F,0.0167693181818182,0,22
Natalie,2015,18.01,Natal,M,0.0293789090909091,0.0227272727272727,11
Penelope,2015,25.01,Natal,F,0.0211182272727273,0,22
Penelope,2015,25.01,Natal,M,0.0176882727272727,0,11
Pizan,2015,22.01,Immigrant,F,0.0210975454545455,0,22
Pizan,2015,22.01,Immigrant,M,0.019089,0,11
Quintyn,2015,21.63,Immigrant,F,0.00705359090909091,0,22
Quintyn,2015,21.63,Immigrant,M,0.008884,0,11
Renee,2015,24.01,Immigrant,F,0.0165552727272727,0,22
Renee,2015,24.01,Immigrant,M,0.0159749090909091,0,11
Rusalka,2015,26.01,Immigrant,F,0.0114806363636364,0,22
Rusalka,2015,26.01,Immigrant,M,0.0526317272727273,0.0454545454545455,11
Ruth,2015,13.82,Immigrant,M,0.016067652173913,0,23
Ruth,2015,13.82,Immigrant,F,0.0121996666666667,0,18
Sabin,2015,18.51,Immigrant,F,0.0200857272727273,0,22
Sabin,2015,18.51,Immigrant,M,0.00689363636363636,0,11
Samantha,2015,20.01,Natal,F,0.00892395454545455,0,22
Samantha,2015,20.01,Natal,M,0.00917354545454546,0,11
Sarandon,2015,40.01,Unknown,M,0.00889952173913043,0,23
Sarandon,2015,40.01,Unknown,F,0.0130712222222222,0,18
Shire,2015,20.01,Immigrant,M,0.0130523913043478,0,23
Shire,2015,20.01,Immigrant,F,0.00444055555555556,0,18
Sills,2015,50.01,Unknown,M,0.0514036086956522,0.0434782608695652,23
Sills,2015,50.01,Unknown,F,0.0122245,0,18
Stella,2015,19.51,Immigrant,M,0.0170948695652174,0,23
Stella,2015,19.51,Immigrant,F,0.0315524444444444,0,18
Susan,2015,13.68,Natal,F,0.0212712727272727,0.0113636363636364,22
Susan,2015,13.68,Natal,M,0.00902609090909091,0,11
Sutherland,2015,53.01,Unknown,M,0.0476339130434783,0.0434782608695652,23
Sutherland,2015,53.01,Unknown,F,0.0116853333333333,0,18
Taylor,2015,24.59,Immigrant,F,0.00986583333333333,0,6
Taylor,2015,24.59,Immigrant,M,0.0041585,0,4
Violetta,2015,35.01,Unknown,M,0.0303207391304348,0.0217391304347826,23
Violetta,2015,35.01,Unknown,F,0.009385,0,18
