IndF,year,age,ImmiOrNatal,sex,Mean.GenR.Adult,Mean.PedR.Adult,N.Adult,Mean.GenR.All,Mean.PedR.All,N.All
Aretha,2005,31.01,Unknown,F,0.0130458518518519,0,27,0.0235992173913043,0.0108695652173913,46
Aretha,2005,31.01,Unknown,M,0.0354423461538462,0.0192307692307692,26,0.0307992391304348,0.0108695652173913,46
Aretha,2006,32.01,Unknown,F,0.0125799285714286,0,28,0.02206878,0.01,50
Aretha,2006,32.01,Unknown,M,0.0344689285714286,0.0178571428571429,28,0.0288563725490196,0.00980392156862745,51
Aretha,2007,33.01,Unknown,F,0.0124576875,0,32,0.021293462962963,0.00925925925925926,54
Aretha,2007,33.01,Unknown,M,0.0336379,0.0166666666666667,30,0.0285058113207547,0.00943396226415094,53
Aretha,2008,34.01,Unknown,F,0.0124518157894737,0,38,0.020864875,0.00892857142857143,56
Aretha,2008,34.01,Unknown,M,0.0336379,0.0166666666666667,30,0.0278476964285714,0.00892857142857143,56
Aretha,2009,35.01,Unknown,F,0.0150697209302326,0,43,0.0294473174603175,0.0158730158730159,63
Aretha,2009,35.01,Unknown,M,0.0339760625,0.015625,32,0.0278205087719298,0.0087719298245614,57
Aretha,2010,36.01,Unknown,F,0.0151734130434783,0,46,0.0283474545454545,0.0151515151515152,66
Aretha,2010,36.01,Unknown,M,0.0324898611111111,0.0138888888888889,36,0.0275750338983051,0.00847457627118644,59
Aretha,2011,37.01,Unknown,F,0.0157629791666667,0,48,0.0319772876712329,0.0171232876712329,73
Aretha,2011,37.01,Unknown,M,0.0313382105263158,0.0131578947368421,38,0.0300088805970149,0.0111940298507463,67
Aretha,2012,38.01,Unknown,F,0.0157226538461538,0,52,0.0308567710843373,0.0150602409638554,83
Aretha,2012,38.01,Unknown,M,0.030667875,0.0125,40,0.0288245555555556,0.0104166666666667,72
Aretha,2013,39.01,Unknown,F,0.0156560545454545,0,55,0.0303279425287356,0.014367816091954,87
Aretha,2013,39.01,Unknown,M,0.030771243902439,0.0121951219512195,41,0.0289630657894737,0.00986842105263158,76
Aretha,2014,40.01,Unknown,F,0.0233974909090909,0.00909090909090909,55,0.029502797752809,0.0140449438202247,89
Aretha,2014,40.01,Unknown,M,0.0321488918918919,0.0135135135135135,37,0.0291655068493151,0.0102739726027397,73
Aretha,2015,41.01,Unknown,F,0.0218248596491228,0.0087719298245614,57,0.0311551075268817,0.0161290322580645,93
Aretha,2015,41.01,Unknown,M,0.0320155476190476,0.0119047619047619,42,0.0290765,0.00986842105263158,76
Aretha,2016,42.01,Unknown,F,0.0222145535714286,0.00892857142857143,56,0.0310886808510638,0.0159574468085106,94
Aretha,2016,42.01,Unknown,M,0.0303557608695652,0.0108695652173913,46,0.0298536075949367,0.00949367088607595,79
Aretha,2017,43.01,Unknown,F,0.0210218928571429,0.00892857142857143,56,0.0331186304347826,0.0190217391304348,92
Aretha,2017,43.01,Unknown,M,0.0317622045454545,0.0113636363636364,44,0.0306301944444444,0.0104166666666667,72
Aretha,2018,44.01,Unknown,F,0.0203832280701754,0.0087719298245614,57,0.0324456344086022,0.0188172043010753,93
Aretha,2018,44.01,Unknown,M,0.0314391086956522,0.0108695652173913,46,0.0304407692307692,0.00961538461538462,78
Aretha,2019,45.01,Unknown,F,0.0199294745762712,0.00847457627118644,59,0.0325958279569892,0.0188172043010753,93
Aretha,2019,45.01,Unknown,M,0.0327220444444444,0.0111111111111111,45,0.0312487333333333,0.01,75
Aretha,2020,46.01,Unknown,F,0.0202185438596491,0.0087719298245614,57,0.0330552747252747,0.0192307692307692,91
Aretha,2020,46.01,Unknown,M,0.0322053191489362,0.0106382978723404,47,0.0314511891891892,0.0101351351351351,74
Atwood,2009,13.51,Immigrant,F,0.00937195348837209,0,43,0.0081082380952381,0,63
Atwood,2009,13.51,Immigrant,M,0.005897,0,32,0.00658389473684211,0,57
Atwood,2010,14.51,Immigrant,F,0.00929278260869565,0,46,0.00787409090909091,0,66
Atwood,2010,14.51,Immigrant,M,0.00633888888888889,0,36,0.0068353220338983,0,59
Atwood,2011,15.51,Immigrant,F,0.009095625,0,48,0.00868142465753425,0,73
Atwood,2011,15.51,Immigrant,M,0.00617786842105263,0,38,0.00650777611940298,0,67
Atwood,2012,16.51,Immigrant,F,0.0114289807692308,0,52,0.0109757469879518,0,83
Atwood,2012,16.51,Immigrant,M,0.00636515,0,40,0.00728304166666667,0,72
Atwood,2013,17.51,Immigrant,F,0.0110340909090909,0,55,0.01031,0,87
Atwood,2013,17.51,Immigrant,M,0.00634773170731707,0,41,0.00745676315789474,0,76
Atwood,2014,18.51,Immigrant,F,0.0109578181818182,0,55,0.0100906179775281,0,89
Atwood,2014,18.51,Immigrant,M,0.00584891891891892,0,37,0.013766602739726,0.00684931506849315,73
Atwood,2015,19.51,Immigrant,F,0.0152491052631579,0,57,0.0138462903225806,0,93
Atwood,2015,19.51,Immigrant,M,0.00657952380952381,0,42,0.0136694342105263,0.00657894736842105,76
Atwood,2016,20.51,Immigrant,F,0.015405875,0,56,0.0143075319148936,0,94
Atwood,2016,20.51,Immigrant,M,0.00602265217391304,0,46,0.0132898101265823,0.00632911392405063,79
